### Dataset metadata																										
Field name:	Value:	Description of each field:	Type:	Comment:	Required?																					
RepAdaptID	rawg0041	A unique identifier given to the dataset in the RepAdapt project. Use the link below to look up your ID.	Text	Look up your ID in the linked spreadsheet: https://docs.google.com/spreadsheets/d/1HEUQKbBVo8bhT4gF269A8Yz7Jq3OBOHwxYzcRB1fYWs/edit?gid=0#gid=0. This term is not Darwin Core.	REQUIRED																					
keywords	H2S | freshwater | fish	Keywords associated with the dataset.	Text	Recommended best practice is to separate the values in a list with space vertical bar space ( | ). This term in not Darwin Core.																						
bibliographicCitation		A bibliographic reference for the resource.	Text	Recommended practice is to include sufficient bibliographic detail to identify the resource as unambiguously as possible.																						
institutionCode	UCSC	The name (or acronym) in use by the institution having custody of the object(s) or information referred to in the record.	Text	See: http://rs.tdwg.org/dwc/terms/institutionCode																						
collectionRemarks	Not a collection	"Comments or notes about whether this data comes from samples that are stored in a collection, loaned from a collection, etc."	Text	This term is not Darwin Core.																						
permitRemarks	Mexican federal agencies DG0PA.090004.041111.3088; SGPA-DGVS-04315; PRMN/DG0PA-003	Any relevant permit information or comments.	Text	This term is not Darwin Core.																						
people	sbogan@skidmore.edu | jokelley@ucsc.edu	Emails of people associated with the dataset.	Email	Recommended best practice is to separate the values in a list with space vertical bar space ( | ). This term is not Darwin Core.																						
																										
### Sample metadata																										
Section:	Identifiers			Taxon / Identification			Location									Record-level: Sample		Record-level: Measurement								
Description of each field:	A unique identifier given to the entry in this metadata project.	A unique identifier given to the sample.	A unique identifier given to the population the sample belongs to.	"The full scientific name, this should be the name in the lowest level taxonomic rank that can be determined. This term should not contain identification qualifications, which should instead be supplied in the dwc:identificationRemarks."	An identifier for the nomenclatural (not taxonomic) details of a scientific name.	Comments or notes about the dwc:Identification.	A spatial region or named place.	A list (concatenated and separated) of geographic names less specific than the information captured in the dcterms:Location term.	The standard code for the country in which the dcterms:Location occurs.	"The geographic latitude (in decimal degrees, using the spatial reference system given in dwc:geodeticDatum) of the geographic center of a dcterms:Location. Positive values are north of the Equator, negative values are south of it. Legal values lie between -90 and 90, inclusive."	"The geographic longitude (in decimal degrees, using the spatial reference system given in dwc:geodeticDatum) of the geographic center of a dcterms:Location. Positive values are east of the Greenwich Meridian, negative values are west of it. Legal values lie between -180 and 180, inclusive."	"The ellipsoid, geodetic datum, or spatial reference system (SRS) upon which the geographic coordinates given in dwc:decimalLatitude and dwc:decimalLongitude are based."	"The horizontal distance (in meters) from the given dwc:decimalLatitude and dwc:decimalLongitude describing the smallest circle containing the whole of the dcterms:Location. Leave the value empty if the uncertainty is unknown, cannot be estimated, or is not applicable (because there are no coordinates). Zero is not a valid value for this term."	The original description of the depth below the local surface.	Comments or notes about the dcterms:Location.	The date-time or interval during which this data was recorded.	Comments or notes about the sample data.	Your definition of the described trait. Include units in this definition.	Your definition of the described trait. Include units in this definition.	Comments or notes about the measurement data. Include other relevent data here.						
	rawg0041	MX13-043_S62_L004	pop02	Poecilia mexicana	GBIFtaxonID:8400492	Michi Tobler	Pichucalco	Chiapas	MX	17.556	-93.008	unknown				2013-01-01	Only year provided	non-sulfidic	F	female from non-H2S spring						
	rawg0041	MX13-044_S63_L004	pop02	Poecilia mexicana	GBIFtaxonID:8400492	Michi Tobler	Pichucalco	Chiapas	MX	17.556	-93.008	unknown				2013-01-01	Only year provided	non-sulfidic	F	female from non-H2S spring						
	rawg0041	MX13-045_S64_L004	pop02	Poecilia mexicana	GBIFtaxonID:8400492	Michi Tobler	Pichucalco	Chiapas	MX	17.556	-93.008	unknown				2013-01-01	Only year provided	non-sulfidic	F	female from non-H2S spring						
	rawg0041	MX13-046_S65_L004	pop02	Poecilia mexicana	GBIFtaxonID:8400492	Michi Tobler	Pichucalco	Chiapas	MX	17.556	-93.008	unknown				2013-01-01	Only year provided	non-sulfidic	F	female from non-H2S spring						
	rawg0041	MX13-047_S66_L004	pop02	Poecilia mexicana	GBIFtaxonID:8400492	Michi Tobler	Pichucalco	Chiapas	MX	17.556	-93.008	unknown				2013-01-01	Only year provided	non-sulfidic	M	male from non-H2S spring						
	rawg0041	MX13-048_S67_L004	pop02	Poecilia mexicana	GBIFtaxonID:8400492	Michi Tobler	Pichucalco	Chiapas	MX	17.556	-93.008	unknown				2013-01-01	Only year provided	non-sulfidic	F	female from non-H2S spring						
	rawg0041	MX13-052_S68_L004	pop02	Poecilia mexicana	GBIFtaxonID:8400492	Michi Tobler	Pichucalco	Chiapas	MX	17.556	-93.008	unknown				2013-01-01	Only year provided	non-sulfidic	M	male from non-H2S spring						
	rawg0041	MX13-053_S69_L004	pop02	Poecilia mexicana	GBIFtaxonID:8400492	Michi Tobler	Pichucalco	Chiapas	MX	17.556	-93.008	unknown				2013-01-01	Only year provided	non-sulfidic	M	male from non-H2S spring						
	rawg0041	MX13-054_S70_L004	pop02	Poecilia mexicana	GBIFtaxonID:8400492	Michi Tobler	Pichucalco	Chiapas	MX	17.556	-93.008	unknown				2013-01-01	Only year provided	non-sulfidic	F	female from non-H2S spring						
	rawg0041	MX13-055_S71_L004	pop02	Poecilia mexicana	GBIFtaxonID:8400492	Michi Tobler	Pichucalco	Chiapas	MX	17.556	-93.008	unknown				2013-01-01	Only year provided	non-sulfidic	F	female from non-H2S spring						
	rawg0041	MX13-058_S72_L004	pop02	Poecilia mexicana	GBIFtaxonID:8400492	Michi Tobler	Pichucalco	Chiapas	MX	17.556	-93.008	unknown				2013-01-01	Only year provided	non-sulfidic	M	male from non-H2S spring						
	rawg0041	MX13-061_S121_L004	pop03	Poecilia mexicana	GBIFtaxonID:8400492	Michi Tobler	Ixtapangajoya	Chiapas	MX	17.495	-92.998	unknown				2013-01-01	Only year provided	non-sulfidic	F	female from non-H2S spring						
	rawg0041	MX13-064_S122_L004	pop03	Poecilia mexicana	GBIFtaxonID:8400492	Michi Tobler	Ixtapangajoya	Chiapas	MX	17.495	-92.998	unknown				2013-01-01	Only year provided	non-sulfidic	F	female from non-H2S spring						
	rawg0041	MX13-065_S123_L004	pop03	Poecilia mexicana	GBIFtaxonID:8400492	Michi Tobler	Ixtapangajoya	Chiapas	MX	17.495	-92.998	unknown				2013-01-01	Only year provided	non-sulfidic	M	male from non-H2S spring						
	rawg0041	MX13-066_S124_L004	pop03	Poecilia mexicana	GBIFtaxonID:8400492	Michi Tobler	Ixtapangajoya	Chiapas	MX	17.495	-92.998	unknown				2013-01-01	Only year provided	non-sulfidic	F	female from non-H2S spring						
	rawg0041	MX13-068_S125_L004	pop03	Poecilia mexicana	GBIFtaxonID:8400492	Michi Tobler	Ixtapangajoya	Chiapas	MX	17.495	-92.998	unknown				2013-01-01	Only year provided	non-sulfidic	F	female from non-H2S spring						
	rawg0041	MX13-072_S126_L004	pop03	Poecilia mexicana	GBIFtaxonID:8400492	Michi Tobler	Ixtapangajoya	Chiapas	MX	17.495	-92.998	unknown				2013-01-01	Only year provided	non-sulfidic	F	female from non-H2S spring						
	rawg0041	MX13-074_S127_L004	pop03	Poecilia mexicana	GBIFtaxonID:8400492	Michi Tobler	Ixtapangajoya	Chiapas	MX	17.495	-92.998	unknown				2013-01-01	Only year provided	non-sulfidic	F	female from non-H2S spring						
	rawg0041	MX13-076_S128_L004	pop03	Poecilia mexicana	GBIFtaxonID:8400492	Michi Tobler	Ixtapangajoya	Chiapas	MX	17.495	-92.998	unknown				2013-01-01	Only year provided	non-sulfidic	M	male from non-H2S spring						
	rawg0041	MX13-077_S129_L004	pop03	Poecilia mexicana	GBIFtaxonID:8400492	Michi Tobler	Ixtapangajoya	Chiapas	MX	17.495	-92.998	unknown				2013-01-01	Only year provided	non-sulfidic	M	male from non-H2S spring						
	rawg0041	MX13-079_S130_L004	pop03	Poecilia mexicana	GBIFtaxonID:8400492	Michi Tobler	Ixtapangajoya	Chiapas	MX	17.495	-92.998	unknown				2013-01-01	Only year provided	non-sulfidic	M	male from non-H2S spring						
	rawg0041	MX13-081_S131_L004	pop03	Poecilia mexicana	GBIFtaxonID:8400492	Michi Tobler	Ixtapangajoya	Chiapas	MX	17.495	-92.998	unknown				2013-01-01	Only year provided	non-sulfidic	M	male from non-H2S spring						
	rawg0041	MX13-083_S132_L004	pop03	Poecilia mexicana	GBIFtaxonID:8400492	Michi Tobler	Ixtapangajoya	Chiapas	MX	17.495	-92.998	unknown				2013-01-01	Only year provided	non-sulfidic	M	male from non-H2S spring						
	rawg0041	MX13-086_S133_L004	pop03	Poecilia mexicana	GBIFtaxonID:8400492	Michi Tobler	Ixtapangajoya	Chiapas	MX	17.495	-92.998	unknown				2013-01-01	Only year provided	non-sulfidic	F	female from non-H2S spring						
	rawg0041	MX13-087_S134_L004	pop03	Poecilia mexicana	GBIFtaxonID:8400492	Michi Tobler	Ixtapangajoya	Chiapas	MX	17.495	-92.998	unknown				2013-01-01	Only year provided	non-sulfidic	F	female from non-H2S spring						
	rawg0041	MX13-088_S135_L004	pop03	Poecilia mexicana	GBIFtaxonID:8400492	Michi Tobler	Ixtapangajoya	Chiapas	MX	17.495	-92.998	unknown				2013-01-01	Only year provided	non-sulfidic	F	female from non-H2S spring						
	rawg0041	MX13-090_S136_L004	pop03	Poecilia mexicana	GBIFtaxonID:8400492	Michi Tobler	Ixtapangajoya	Chiapas	MX	17.495	-92.998	unknown				2013-01-01	Only year provided	non-sulfidic	F	female from non-H2S spring						
	rawg0041	MX13-093_S73_L004	pop04	Poecilia mexicana	GBIFtaxonID:8400492	Michi Tobler	Pichucalco	Chiapas	MX	17.53201	-93.01513	unknown				2013-01-01	Only year provided	sulfidic	M	male from toxic H2S spring						
	rawg0041	MX13-096_S74_L004	pop04	Poecilia mexicana	GBIFtaxonID:8400492	Michi Tobler	Pichucalco	Chiapas	MX	17.53201	-93.01513	unknown				2013-01-01	Only year provided	sulfidic	F	female from toxic H2S spring						
	rawg0041	MX13-097_S75_L004	pop04	Poecilia mexicana	GBIFtaxonID:8400492	Michi Tobler	Pichucalco	Chiapas	MX	17.53201	-93.01513	unknown				2013-01-01	Only year provided	sulfidic	F	female from toxic H2S spring						
	rawg0041	MX13-101_S76_L004	pop04	Poecilia mexicana	GBIFtaxonID:8400492	Michi Tobler	Pichucalco	Chiapas	MX	17.53201	-93.01513	unknown				2013-01-01	Only year provided	sulfidic	M	male from toxic H2S spring						
	rawg0041	MX13-102_S77_L004	pop04	Poecilia mexicana	GBIFtaxonID:8400492	Michi Tobler	Pichucalco	Chiapas	MX	17.53201	-93.01513	unknown				2013-01-01	Only year provided	sulfidic	M	male from toxic H2S spring						
	rawg0041	MX13-104_S78_L004	pop04	Poecilia mexicana	GBIFtaxonID:8400492	Michi Tobler	Pichucalco	Chiapas	MX	17.53201	-93.01513	unknown				2013-01-01	Only year provided	sulfidic	F	female from toxic H2S spring						
	rawg0041	MX13-105_S79_L004	pop04	Poecilia mexicana	GBIFtaxonID:8400492	Michi Tobler	Pichucalco	Chiapas	MX	17.53201	-93.01513	unknown				2013-01-01	Only year provided	sulfidic	F	female from toxic H2S spring						
	rawg0041	MX13-108_S80_L004	pop04	Poecilia mexicana	GBIFtaxonID:8400492	Michi Tobler	Pichucalco	Chiapas	MX	17.53201	-93.01513	unknown				2013-01-01	Only year provided	sulfidic	F	female from toxic H2S spring						
	rawg0041	MX13-110_S81_L004	pop04	Poecilia mexicana	GBIFtaxonID:8400492	Michi Tobler	Pichucalco	Chiapas	MX	17.53201	-93.01513	unknown				2013-01-01	Only year provided	sulfidic	F	female from toxic H2S spring						
	rawg0041	MX13-113_S82_L004	pop04	Poecilia mexicana	GBIFtaxonID:8400492	Michi Tobler	Pichucalco	Chiapas	MX	17.53201	-93.01513	unknown				2013-01-01	Only year provided	sulfidic	M	male from toxic H2S spring						
	rawg0041	MX13-115_S83_L004	pop04	Poecilia mexicana	GBIFtaxonID:8400492	Michi Tobler	Pichucalco	Chiapas	MX	17.53201	-93.01513	unknown				2013-01-01	Only year provided	sulfidic	M	male from toxic H2S spring						
	rawg0041	MX13-116_S84_L004	pop04	Poecilia mexicana	GBIFtaxonID:8400492	Michi Tobler	Pichucalco	Chiapas	MX	17.53201	-93.01513	unknown				2013-01-01	Only year provided	sulfidic	F	female from toxic H2S spring						
	rawg0041	MX13-117_S85_L004	pop04	Poecilia mexicana	GBIFtaxonID:8400492	Michi Tobler	Pichucalco	Chiapas	MX	17.53201	-93.01513	unknown				2013-01-01	Only year provided	sulfidic	M	male from toxic H2S spring						
	rawg0041	MX13-118_S86_L004	pop04	Poecilia mexicana	GBIFtaxonID:8400492	Michi Tobler	Pichucalco	Chiapas	MX	17.53201	-93.01513	unknown				2013-01-01	Only year provided	sulfidic	M	male from toxic H2S spring						
	rawg0041	MX13-119_S87_L004	pop04	Poecilia mexicana	GBIFtaxonID:8400492	Michi Tobler	Pichucalco	Chiapas	MX	17.53201	-93.01513	unknown				2013-01-01	Only year provided	sulfidic	M	male from toxic H2S spring						
	rawg0041	MX13-120_S88_L004	pop04	Poecilia mexicana	GBIFtaxonID:8400492	Michi Tobler	Pichucalco	Chiapas	MX	17.53201	-93.01513	unknown				2013-01-01	Only year provided	sulfidic	F	female from toxic H2S spring						
	rawg0041	MX13-124_S41_L004	pop05	Poecilia mexicana	GBIFtaxonID:8400492	Michi Tobler	Pichucalco	Chiapas	MX	17.55225	-92.99859	unknown				2013-01-01	Only year provided	sulfidic	M	male from toxic H2S spring						
	rawg0041	MX13-125_S42_L004	pop05	Poecilia mexicana	GBIFtaxonID:8400492	Michi Tobler	Pichucalco	Chiapas	MX	17.55225	-92.99859	unknown				2013-01-01	Only year provided	sulfidic	M	male from toxic H2S spring						
	rawg0041	MX13-128_S43_L004	pop05	Poecilia mexicana	GBIFtaxonID:8400492	Michi Tobler	Pichucalco	Chiapas	MX	17.55225	-92.99859	unknown				2013-01-01	Only year provided	sulfidic	M	male from toxic H2S spring						
	rawg0041	MX13-131_S44_L004	pop05	Poecilia mexicana	GBIFtaxonID:8400492	Michi Tobler	Pichucalco	Chiapas	MX	17.55225	-92.99859	unknown				2013-01-01	Only year provided	sulfidic	F	female from toxic H2S spring						
	rawg0041	MX13-132_S45_L004	pop05	Poecilia mexicana	GBIFtaxonID:8400492	Michi Tobler	Pichucalco	Chiapas	MX	17.55225	-92.99859	unknown				2013-01-01	Only year provided	sulfidic	F	female from toxic H2S spring						
	rawg0041	MX13-135_S46_L004	pop05	Poecilia mexicana	GBIFtaxonID:8400492	Michi Tobler	Pichucalco	Chiapas	MX	17.55225	-92.99859	unknown				2013-01-01	Only year provided	sulfidic	M	male from toxic H2S spring						
	rawg0041	MX13-137_S47_L004	pop05	Poecilia mexicana	GBIFtaxonID:8400492	Michi Tobler	Pichucalco	Chiapas	MX	17.55225	-92.99859	unknown				2013-01-01	Only year provided	sulfidic	F	female from toxic H2S spring						
	rawg0041	MX13-138_S48_L004	pop05	Poecilia mexicana	GBIFtaxonID:8400492	Michi Tobler	Pichucalco	Chiapas	MX	17.55225	-92.99859	unknown				2013-01-01	Only year provided	sulfidic	F	female from toxic H2S spring						
	rawg0041	MX13-139_S49_L004	pop05	Poecilia mexicana	GBIFtaxonID:8400492	Michi Tobler	Pichucalco	Chiapas	MX	17.55225	-92.99859	unknown				2013-01-01	Only year provided	sulfidic	F	female from toxic H2S spring						
	rawg0041	MX13-140_S50_L004	pop05	Poecilia mexicana	GBIFtaxonID:8400492	Michi Tobler	Pichucalco	Chiapas	MX	17.55225	-92.99859	unknown				2013-01-01	Only year provided	sulfidic	F	female from toxic H2S spring						
	rawg0041	MX13-142_S51_L004	pop05	Poecilia mexicana	GBIFtaxonID:8400492	Michi Tobler	Pichucalco	Chiapas	MX	17.55225	-92.99859	unknown				2013-01-01	Only year provided	sulfidic	F	female from toxic H2S spring						
	rawg0041	MX13-144_S52_L004	pop05	Poecilia mexicana	GBIFtaxonID:8400492	Michi Tobler	Pichucalco	Chiapas	MX	17.55225	-92.99859	unknown				2013-01-01	Only year provided	sulfidic	M	male from toxic H2S spring						
	rawg0041	MX13-146_S53_L004	pop05	Poecilia mexicana	GBIFtaxonID:8400492	Michi Tobler	Pichucalco	Chiapas	MX	17.55225	-92.99859	unknown				2013-01-01	Only year provided	sulfidic	F	female from toxic H2S spring						
	rawg0041	MX13-148_S54_L004	pop05	Poecilia mexicana	GBIFtaxonID:8400492	Michi Tobler	Pichucalco	Chiapas	MX	17.55225	-92.99859	unknown				2013-01-01	Only year provided	sulfidic	M	male from toxic H2S spring						
	rawg0041	MX13-149_S55_L004	pop05	Poecilia mexicana	GBIFtaxonID:8400492	Michi Tobler	Pichucalco	Chiapas	MX	17.55225	-92.99859	unknown				2013-01-01	Only year provided	sulfidic	M	male from toxic H2S spring						
	rawg0041	MX13-150_S56_L004	pop05	Poecilia mexicana	GBIFtaxonID:8400492	Michi Tobler	Pichucalco	Chiapas	MX	17.55225	-92.99859	unknown				2013-01-01	Only year provided	sulfidic	M	male from toxic H2S spring						
	rawg0041	MX13-152_S137_L004	pop06	Poecilia mexicana	GBIFtaxonID:8400492	Michi Tobler	Puyacatengo	Tabasco	MX	17.463	-92.895	unknown				2013-01-01	Only year provided	sulfidic	F	female from toxic H2S spring						
	rawg0041	MX13-153_S138_L004	pop06	Poecilia mexicana	GBIFtaxonID:8400492	Michi Tobler	Puyacatengo	Tabasco	MX	17.463	-92.895	unknown				2013-01-01	Only year provided	sulfidic	F	female from toxic H2S spring						
